trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_1_trip_2_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2805,
block_1_trip_3_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_4_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_5_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_6_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_7_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_8_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_9_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_10_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_11_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_12_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_13_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_14_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_15_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_16_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_17_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_18_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_19_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_20_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_21_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_22_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_23_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_24_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_25_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_26_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_27_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_28_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_29_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_30_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_31_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_32_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_33_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_34_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_35_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_36_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_37_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_38_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_39_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_40_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_41_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_42_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_43_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_44_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_45_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_46_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_47_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_48_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_49_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_50_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_51_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_52_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_53_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_54_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_55_service_1,route_1,service_1,Salwator,"",1,block_1,shape_2800,
block_1_trip_56_service_1,route_1,service_1,Kopiec Kościuszki,"",0,block_1,shape_2799,
block_1_trip_57_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_1_trip_58_service_1,route_2,service_1,Kopiec Kościuszki,"",1,block_1,shape_2803,
block_1_trip_59_service_1,route_2,service_1,Os. Podwawelskie,"",0,block_1,shape_2802,
block_15_trip_2_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_3_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_4_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_5_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_6_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_7_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_8_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_9_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_10_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_11_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_12_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_13_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_14_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_15_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_16_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_17_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_18_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_19_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_20_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_21_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_22_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_23_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_24_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_25_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_26_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_27_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_28_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_29_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_30_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_31_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_32_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_33_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_34_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_15_trip_35_service_1,route_8,service_1,Bielany,"",1,block_15,shape_5893,
block_15_trip_36_service_1,route_8,service_1,Cracovia Stadion,"",0,block_15,shape_5887,
block_23_trip_2_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_3_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_4_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_5_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_6_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_7_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_8_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_9_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_10_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_11_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_12_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_13_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_14_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_15_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
block_23_trip_16_service_1,route_12,service_1,EC Łęg,"",1,block_23,shape_2872,
block_23_trip_17_service_1,route_12,service_1,Czyżyny Dworzec,"",0,block_23,shape_2869,
